id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
1734,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1735,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1736,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1737,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1738,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1739,2MASS J21392676+0220226,Aquarius,21h 39m 26.77s,2° 20′ 22.7″,14.71,32.1,T1.5,46,0.96,n/a
1740,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1741,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1742,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1743,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1744,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1745,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1746,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1747,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1748,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1749,2MASS J21481628+4003593,,21h 48m 16.33s,40° 3′ 59.4″,,26.3,L6,55,0.99,n/a
1750,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1751,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
