,star_names,distance,mass,radius,gravity
161,DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999,1234.571849426372
162,2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,1342.364916132563
163,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999,1214.2000569364636
164,LHS 2021,55.0,0.084003744,0.1181774499999999,1649.7053854867931
165,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,1237.4702484573404
166,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1537.1317395794251
167,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.7166344045677
168,2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1667.4106478888943
169,2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,1290.7354962813106
170,2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999,1178.4549471797186
171,2MASS 0939−2448,17.4,0.030546816,0.0976248499999999,879.0673874817563
172,2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1318.1748298784714
173,2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,1234.571849426372
174,2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,1316.5502062069368
175,2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.70141347991955
176,2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999,1291.136064635986
177,2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,1178.4549471797186
178,Luhman 16B,6.516,0.041047284,0.10481826,1024.6782379282668
179,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
180,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.7166344045677
181,TWA 28,180.0,0.034365168,0.24560357,156.25218516002334
182,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61.2159195372133
183,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
184,2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,887.7503956324398
185,TWA 26,137.0,0.02863764,0.2260786,153.6721947060209
